Data zamówienia	Kraj odbiorcy	Cena jednostkowa	Iloœæ	Nazwa produktu	Nazwisko	Stanowisko	Region
18.02.1997	Francja	39,40 z³	35	Tarte au sucre	Leverling	Przedstawiciel handlowy	WA
18.02.1997	Francja	24,80 z³	14	Ikura	Leverling	Przedstawiciel handlowy	WA
19.02.1997	Niemcy	19,20 z³	120	Pâte chinois	Peacock	Przedstawiciel handlowy	WA
19.02.1997	Niemcy	26,60 z³	35	Wimmers gute Semmelknödel	Peacock	Przedstawiciel handlowy	WA
19.02.1997	Francja	5,90 z³	6	Tourtiere	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
19.02.1997	Niemcy	16,80 z³	28	Louisiana Fiery Hot Pepper Sauce	Peacock	Przedstawiciel handlowy	WA
19.02.1997	Francja	24,80 z³	20	Ikura	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
19.02.1997	Niemcy	10,40 z³	55	Original Frankfurter grüne Soße	Peacock	Przedstawiciel handlowy	WA
20.02.1997	USA	36,40 z³	15	Rössle Sauerkraut	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
20.02.1997	USA	15,50 z³	100	Gula Malacca	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
21.02.1997	Francja	13,90 z³	20	Pavlova	Peacock	Przedstawiciel handlowy	WA
21.02.1997	Wielka Brytania	12,00 z³	25	Outback Lager	Davolio	Przedstawiciel handlowy	WA
21.02.1997	Francja	9,60 z³	10	Spegesild	Peacock	Przedstawiciel handlowy	WA
21.02.1997	Francja	2,00 z³	20	Geitost	Peacock	Przedstawiciel handlowy	WA
21.02.1997	Wielka Brytania	10,20 z³	15	Chocolade	Davolio	Przedstawiciel handlowy	WA
24.02.1997	Finlandia	17,20 z³	30	Flotemysost	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
24.02.1997	Finlandia	14,40 z³	20	Chartreuse verte	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
24.02.1997	Finlandia	26,20 z³	50	Perth Pasties	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
24.02.1997	Finlandia	22,80 z³	25	Sirop d'érable	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
25.02.1997	Niemcy	8,00 z³	40	Sir Rodney's Scones	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
25.02.1997	Niemcy	44,00 z³	36	Raclette Courdavault	Fuller	Wiceprezes ds. sprzeda¿y	WA
25.02.1997	Niemcy	16,00 z³	21	Maxilaku	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
26.02.1997	Belgia	36,40 z³	30	Rössle Sauerkraut	King	Przedstawiciel handlowy	
26.02.1997	Belgia	24,90 z³	30	Gumbär Gummibärchen	King	Przedstawiciel handlowy	
26.02.1997	Belgia	17,20 z³	50	Flotemysost	King	Przedstawiciel handlowy	
26.02.1997	Belgia	36,80 z³	20	Ipoh Coffee	King	Przedstawiciel handlowy	
26.02.1997	Belgia	30,40 z³	15	Gnocchi di nonna Alice	King	Przedstawiciel handlowy	
27.02.1997	Francja	27,80 z³	40	Mozzarella di Giovanni	Peacock	Przedstawiciel handlowy	WA
27.02.1997	Francja	24,00 z³	16	Uncle Bob's Organic Dried Pears	Peacock	Przedstawiciel handlowy	WA
27.02.1997	Francja	9,60 z³	20	Spegesild	Peacock	Przedstawiciel handlowy	WA
28.02.1997	Szwecja	10,00 z³	21	Scottish Longbreads	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
28.02.1997	Wenezuela	20,70 z³	28	Nord-Ost Matjeshering	Davolio	Przedstawiciel handlowy	WA
28.02.1997	Wenezuela	8,00 z³	40	Sir Rodney's Scones	Davolio	Przedstawiciel handlowy	WA
28.02.1997	Szwecja	6,20 z³	4	Rhönbräu Klosterbier	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
28.02.1997	Wenezuela	19,20 z³	60	Pâte chinois	Davolio	Przedstawiciel handlowy	WA
03.03.1997	Wielka Brytania	7,20 z³	21	Tunnbröd	Fuller	Wiceprezes ds. sprzeda¿y	WA
03.03.1997	Wielka Brytania	4,80 z³	1	Konbu	Fuller	Wiceprezes ds. sprzeda¿y	WA
04.03.1997	Portugalia	17,60 z³	16	Chef Anton's Cajun Seasoning	Peacock	Przedstawiciel handlowy	WA
04.03.1997	Portugalia	27,20 z³	20	Camembert Pierrot	Peacock	Przedstawiciel handlowy	WA
04.03.1997	Portugalia	36,80 z³	3	Ipoh Coffee	Peacock	Przedstawiciel handlowy	WA
04.03.1997	Belgia	11,20 z³	50	Singaporean Hokkien Fried Mee	Buchanan	Dyrektor ds. sprzeda¿y	
04.03.1997	Belgia	7,30 z³	21	Teatime Chocolate Biscuits	Buchanan	Dyrektor ds. sprzeda¿y	
04.03.1997	Portugalia	30,40 z³	30	Gnocchi di nonna Alice	Peacock	Przedstawiciel handlowy	WA
05.03.1997	Dania	3,60 z³	25	Guaraná Fantástica	Davolio	Przedstawiciel handlowy	WA
05.03.1997	Dania	7,60 z³	30	Rogede sild	Davolio	Przedstawiciel handlowy	WA
05.03.1997	Dania	13,00 z³	25	Valkoinen suklaa	Davolio	Przedstawiciel handlowy	WA
05.03.1997	Dania	99,00 z³	18	Thüringer Rostbratwurst	Davolio	Przedstawiciel handlowy	WA
05.03.1997	Dania	14,70 z³	20	Boston Crab Meat	Davolio	Przedstawiciel handlowy	WA
06.03.1997	Brazylia	9,60 z³	5	Spegesild	Peacock	Przedstawiciel handlowy	WA
06.03.1997	W³ochy	11,20 z³	12	NuNuCa Nuß-Nougat-Creme	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
06.03.1997	W³ochy	3,60 z³	28	Guaraná Fantástica	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
06.03.1997	Brazylia	16,80 z³	10	Queso Cabrales	Peacock	Przedstawiciel handlowy	WA
07.03.1997	Niemcy	36,80 z³	15	Ipoh Coffee	Leverling	Przedstawiciel handlowy	WA
07.03.1997	Niemcy	20,70 z³	8	Nord-Ost Matjeshering	Leverling	Przedstawiciel handlowy	WA
10.03.1997	USA	15,50 z³	2	Gula Malacca	Davolio	Przedstawiciel handlowy	WA
10.03.1997	USA	13,90 z³	35	Pavlova	Davolio	Przedstawiciel handlowy	WA
10.03.1997	USA	15,20 z³	40	Chang	Davolio	Przedstawiciel handlowy	WA
11.03.1997	Francja	7,20 z³	15	Tunnbröd	Peacock	Przedstawiciel handlowy	WA
11.03.1997	Wielka Brytania	30,40 z³	20	Gnocchi di nonna Alice	Fuller	Wiceprezes ds. sprzeda¿y	WA
11.03.1997	Francja	26,60 z³	8	Wimmers gute Semmelknödel	Peacock	Przedstawiciel handlowy	WA
11.03.1997	Wielka Brytania	24,00 z³	30	Uncle Bob's Organic Dried Pears	Fuller	Wiceprezes ds. sprzeda¿y	WA
11.03.1997	Francja	50,00 z³	30	Carnarvon Tigers	Peacock	Przedstawiciel handlowy	WA
12.03.1997	Wielka Brytania	42,40 z³	18	Manjimup Dried Apples	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
12.03.1997	Wielka Brytania	3,60 z³	80	Guaraná Fantástica	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
13.03.1997	Meksyk	14,70 z³	21	Boston Crab Meat	Buchanan	Dyrektor ds. sprzeda¿y	
13.03.1997	Meksyk	6,20 z³	10	Rhönbräu Klosterbier	Buchanan	Dyrektor ds. sprzeda¿y	
13.03.1997	Meksyk	18,60 z³	12	Tofu	Buchanan	Dyrektor ds. sprzeda¿y	
13.03.1997	Wielka Brytania	2,00 z³	12	Geitost	Davolio	Przedstawiciel handlowy	WA
13.03.1997	Meksyk	36,40 z³	18	Rössle Sauerkraut	Buchanan	Dyrektor ds. sprzeda¿y	
13.03.1997	Wielka Brytania	17,20 z³	12	Flotemysost	Davolio	Przedstawiciel handlowy	WA
14.03.1997	Belgia	14,40 z³	42	Lakkalikööri	Dodsworth	Przedstawiciel handlowy	
14.03.1997	Belgia	13,60 z³	60	Louisiana Hot Spiced Okra	Dodsworth	Przedstawiciel handlowy	
14.03.1997	Belgia	10,00 z³	35	Gorgonzola Telino	Dodsworth	Przedstawiciel handlowy	
17.03.1997	Portugalia	8,00 z³	21	Sir Rodney's Scones	Buchanan	Dyrektor ds. sprzeda¿y	
17.03.1997	Wenezuela	19,20 z³	2	Pâte chinois	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
17.03.1997	Portugalia	14,40 z³	20	Chartreuse verte	Buchanan	Dyrektor ds. sprzeda¿y	
17.03.1997	Wenezuela	12,00 z³	12	Outback Lager	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
17.03.1997	Portugalia	14,40 z³	15	Chai	Buchanan	Dyrektor ds. sprzeda¿y	
18.03.1997	Francja	24,80 z³	20	Ikura	Fuller	Wiceprezes ds. sprzeda¿y	WA
19.03.1997	USA	26,20 z³	28	Perth Pasties	Leverling	Przedstawiciel handlowy	WA
19.03.1997	USA	210,80 z³	30	Côte de Blaye	Leverling	Przedstawiciel handlowy	WA
19.03.1997	USA	26,60 z³	30	Wimmers gute Semmelknödel	Leverling	Przedstawiciel handlowy	WA
19.03.1997	USA	44,00 z³	60	Raclette Courdavault	Leverling	Przedstawiciel handlowy	WA
20.03.1997	Brazylia	27,20 z³	40	Camembert Pierrot	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
20.03.1997	Francja	7,60 z³	30	Zaanse koeken	Suyama	Przedstawiciel handlowy	
20.03.1997	Brazylia	16,00 z³	24	Maxilaku	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
20.03.1997	Francja	44,00 z³	12	Raclette Courdavault	Suyama	Przedstawiciel handlowy	
21.03.1997	USA	14,70 z³	10	Boston Crab Meat	Davolio	Przedstawiciel handlowy	WA
24.03.1997	Wielka Brytania	14,70 z³	10	Boston Crab Meat	Leverling	Przedstawiciel handlowy	WA
24.03.1997	USA	11,20 z³	35	Sasquatch Ale	King	Przedstawiciel handlowy	
24.03.1997	Wielka Brytania	8,00 z³	14	Sir Rodney's Scones	Leverling	Przedstawiciel handlowy	WA
24.03.1997	USA	10,40 z³	30	Original Frankfurter grüne Soße	King	Przedstawiciel handlowy	
24.03.1997	Wielka Brytania	42,40 z³	3	Manjimup Dried Apples	Leverling	Przedstawiciel handlowy	WA
25.03.1997	Wenezuela	19,20 z³	30	Pâte chinois	Peacock	Przedstawiciel handlowy	WA
25.03.1997	Wenezuela	12,00 z³	60	Outback Lager	Peacock	Przedstawiciel handlowy	WA
25.03.1997	Wenezuela	8,00 z³	20	Aniseed Syrup	Peacock	Przedstawiciel handlowy	WA
25.03.1997	Wenezuela	15,20 z³	20	Chang	Peacock	Przedstawiciel handlowy	WA
26.03.1997	Wenezuela	16,80 z³	5	Queso Cabrales	Davolio	Przedstawiciel handlowy	WA
26.03.1997	Wenezuela	42,40 z³	25	Manjimup Dried Apples	Davolio	Przedstawiciel handlowy	WA
26.03.1997	Brazylia	7,30 z³	5	Teatime Chocolate Biscuits	Fuller	Wiceprezes ds. sprzeda¿y	WA
26.03.1997	Wenezuela	8,00 z³	16	Longlife Tofu	Davolio	Przedstawiciel handlowy	WA
26.03.1997	Brazylia	5,90 z³	24	Tourtiere	Fuller	Wiceprezes ds. sprzeda¿y	WA
26.03.1997	Brazylia	24,90 z³	30	Gumbär Gummibärchen	Fuller	Wiceprezes ds. sprzeda¿y	WA
27.03.1997	Niemcy	44,00 z³	30	Raclette Courdavault	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
27.03.1997	Niemcy	12,00 z³	20	Röd Kaviar	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
28.03.1997	Austria	13,90 z³	18	Pavlova	Suyama	Przedstawiciel handlowy	
28.03.1997	Austria	16,80 z³	15	Queso Cabrales	Suyama	Przedstawiciel handlowy	
31.03.1997	Portugalia	15,50 z³	15	Gula Malacca	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
31.03.1997	Portugalia	10,40 z³	7	Original Frankfurter grüne Soße	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
31.03.1997	Wenezuela	6,20 z³	36	Rhönbräu Klosterbier	King	Przedstawiciel handlowy	
31.03.1997	Wenezuela	44,00 z³	60	Raclette Courdavault	King	Przedstawiciel handlowy	
31.03.1997	Wenezuela	10,00 z³	30	Scottish Longbreads	King	Przedstawiciel handlowy	
01.04.1997	Kanada	11,20 z³	60	NuNuCa Nuß-Nougat-Creme	Leverling	Przedstawiciel handlowy	WA
01.04.1997	Kanada	11,20 z³	20	Singaporean Hokkien Fried Mee	Leverling	Przedstawiciel handlowy	WA
02.04.1997	Francja	16,80 z³	15	Louisiana Fiery Hot Pepper Sauce	Peacock	Przedstawiciel handlowy	WA
02.04.1997	Francja	28,80 z³	10	Gudbrandsdalsost	Peacock	Przedstawiciel handlowy	WA
02.04.1997	Francja	13,60 z³	10	Louisiana Hot Spiced Okra	Peacock	Przedstawiciel handlowy	WA
02.04.1997	Brazylia	30,40 z³	30	Gnocchi di nonna Alice	Peacock	Przedstawiciel handlowy	WA
03.04.1997	Kanada	7,70 z³	20	Jack's New England Clam Chowder	Leverling	Przedstawiciel handlowy	WA
03.04.1997	Kanada	10,40 z³	5	Original Frankfurter grüne Soße	Leverling	Przedstawiciel handlowy	WA
03.04.1997	Kanada	7,20 z³	10	Tunnbröd	Leverling	Przedstawiciel handlowy	WA
04.04.1997	Niemcy	27,80 z³	25	Mozzarella di Giovanni	King	Przedstawiciel handlowy	
04.04.1997	Niemcy	30,40 z³	14	Gnocchi di nonna Alice	King	Przedstawiciel handlowy	
04.04.1997	Brazylia	10,00 z³	20	Gorgonzola Telino	King	Przedstawiciel handlowy	
04.04.1997	Niemcy	10,40 z³	25	Original Frankfurter grüne Soße	King	Przedstawiciel handlowy	
07.04.1997	Wenezuela	14,00 z³	30	Singaporean Hokkien Fried Mee	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
07.04.1997	Wenezuela	4,50 z³	14	Guaraná Fantástica	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
07.04.1997	Wenezuela	18,40 z³	5	Boston Crab Meat	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
08.04.1997	Wenezuela	45,60 z³	20	Rössle Sauerkraut	Peacock	Przedstawiciel handlowy	WA
08.04.1997	Wenezuela	20,00 z³	25	Maxilaku	Peacock	Przedstawiciel handlowy	WA
09.04.1997	Niemcy	7,45 z³	20	Tourtiere	Dodsworth	Przedstawiciel handlowy	
09.04.1997	Francja	45,60 z³	8	Rössle Sauerkraut	Suyama	Przedstawiciel handlowy	
09.04.1997	Francja	15,50 z³	12	Genen Shouyu	Suyama	Przedstawiciel handlowy	
10.04.1997	Meksyk	9,50 z³	21	Rogede sild	Fuller	Wiceprezes ds. sprzeda¿y	WA
10.04.1997	Meksyk	32,80 z³	6	Perth Pasties	Fuller	Wiceprezes ds. sprzeda¿y	WA
10.04.1997	Meksyk	14,00 z³	30	Laughing Lumberjack Lager	Fuller	Wiceprezes ds. sprzeda¿y	WA
11.04.1997	USA	19,00 z³	12	Chang	Peacock	Przedstawiciel handlowy	WA
11.04.1997	Irlandia	23,25 z³	70	Tofu	Suyama	Przedstawiciel handlowy	
11.04.1997	USA	10,00 z³	12	Sir Rodney's Scones	Peacock	Przedstawiciel handlowy	WA
11.04.1997	Irlandia	21,05 z³	20	Louisiana Fiery Hot Pepper Sauce	Suyama	Przedstawiciel handlowy	
11.04.1997	USA	28,50 z³	25	Sirop d'érable	Peacock	Przedstawiciel handlowy	WA
11.04.1997	USA	32,80 z³	10	Perth Pasties	Peacock	Przedstawiciel handlowy	WA
14.04.1997	Kanada	49,30 z³	3	Tarte au sucre	Leverling	Przedstawiciel handlowy	WA
15.04.1997	Meksyk	12,75 z³	15	Chocolade	King	Przedstawiciel handlowy	
15.04.1997	Niemcy	15,00 z³	14	Outback Lager	Dodsworth	Przedstawiciel handlowy	
15.04.1997	Niemcy	14,00 z³	18	NuNuCa Nuß-Nougat-Creme	Dodsworth	Przedstawiciel handlowy	
15.04.1997	Meksyk	46,00 z³	15	Ipoh Coffee	King	Przedstawiciel handlowy	
16.04.1997	Niemcy	6,00 z³	10	Konbu	Davolio	Przedstawiciel handlowy	WA
16.04.1997	Niemcy	18,00 z³	10	Chartreuse verte	Davolio	Przedstawiciel handlowy	WA
17.04.1997	Niemcy	45,60 z³	3	Rössle Sauerkraut	Peacock	Przedstawiciel handlowy	WA
18.04.1997	Francja	30,00 z³	50	Uncle Bob's Organic Dried Pears	Peacock	Przedstawiciel handlowy	WA
18.04.1997	USA	7,75 z³	36	Rhönbräu Klosterbier	Suyama	Przedstawiciel handlowy	
18.04.1997	Francja	22,00 z³	50	Chef Anton's Cajun Seasoning	Peacock	Przedstawiciel handlowy	WA
18.04.1997	USA	123,79 z³	36	Thüringer Rostbratwurst	Suyama	Przedstawiciel handlowy	
18.04.1997	Francja	40,00 z³	10	Northwoods Cranberry Sauce	Peacock	Przedstawiciel handlowy	WA
21.04.1997	Brazylia	9,50 z³	6	Zaanse koeken	King	Przedstawiciel handlowy	
21.04.1997	Brazylia	4,50 z³	10	Guaraná Fantástica	King	Przedstawiciel handlowy	
21.04.1997	Brazylia	34,00 z³	12	Camembert Pierrot	King	Przedstawiciel handlowy	
21.04.1997	Brazylia	12,00 z³	9	Spegesild	King	Przedstawiciel handlowy	
22.04.1997	Austria	38,00 z³	70	Gnocchi di nonna Alice	Leverling	Przedstawiciel handlowy	WA
22.04.1997	Austria	21,05 z³	39	Louisiana Fiery Hot Pepper Sauce	Leverling	Przedstawiciel handlowy	WA
22.04.1997	Austria	81,00 z³	39	Sir Rodney's Marmalade	Leverling	Przedstawiciel handlowy	WA
22.04.1997	Niemcy	32,00 z³	50	Mascarpone Fabioli	King	Przedstawiciel handlowy	
22.04.1997	Austria	45,60 z³	35	Rössle Sauerkraut	Leverling	Przedstawiciel handlowy	WA
22.04.1997	Niemcy	10,00 z³	40	Sir Rodney's Scones	King	Przedstawiciel handlowy	
22.04.1997	Niemcy	28,50 z³	15	Sirop d'érable	King	Przedstawiciel handlowy	
22.04.1997	Austria	7,75 z³	50	Rhönbräu Klosterbier	Leverling	Przedstawiciel handlowy	WA
23.04.1997	Niemcy	2,50 z³	16	Geitost	Fuller	Wiceprezes ds. sprzeda¿y	WA
23.04.1997	Niemcy	43,90 z³	120	Schoggi Schokolade	Fuller	Wiceprezes ds. sprzeda¿y	WA
23.04.1997	Niemcy	97,00 z³	16	Mishi Kobe Niku	Fuller	Wiceprezes ds. sprzeda¿y	WA
23.04.1997	Niemcy	17,45 z³	50	Pavlova	Fuller	Wiceprezes ds. sprzeda¿y	WA
23.04.1997	Niemcy	34,00 z³	84	Camembert Pierrot	Fuller	Wiceprezes ds. sprzeda¿y	WA
24.04.1997	Irlandia	9,65 z³	80	Jack's New England Clam Chowder	Fuller	Wiceprezes ds. sprzeda¿y	WA
24.04.1997	Irlandia	62,50 z³	25	Carnarvon Tigers	Fuller	Wiceprezes ds. sprzeda¿y	WA
24.04.1997	Irlandia	14,00 z³	20	Singaporean Hokkien Fried Mee	Fuller	Wiceprezes ds. sprzeda¿y	WA
24.04.1997	Wielka Brytania	7,00 z³	6	Filo Mix	Leverling	Przedstawiciel handlowy	WA
24.04.1997	Wielka Brytania	55,00 z³	4	Raclette Courdavault	Leverling	Przedstawiciel handlowy	WA
24.04.1997	Wielka Brytania	15,00 z³	6	Outback Lager	Leverling	Przedstawiciel handlowy	WA
25.04.1997	Meksyk	4,50 z³	5	Guaraná Fantástica	Peacock	Przedstawiciel handlowy	WA
25.04.1997	Meksyk	263,50 z³	15	Côte de Blaye	Peacock	Przedstawiciel handlowy	WA
25.04.1997	Meksyk	19,45 z³	9	Gula Malacca	Peacock	Przedstawiciel handlowy	WA
28.04.1997	Szwajcaria	34,00 z³	10	Camembert Pierrot	Suyama	Przedstawiciel handlowy	
28.04.1997	Szwajcaria	38,00 z³	40	Gnocchi di nonna Alice	Suyama	Przedstawiciel handlowy	
28.04.1997	Szwajcaria	31,00 z³	16	Ikura	Suyama	Przedstawiciel handlowy	
29.04.1997	Norwegia	4,50 z³	8	Guaraná Fantástica	King	Przedstawiciel handlowy	
29.04.1997	Norwegia	32,80 z³	5	Perth Pasties	King	Przedstawiciel handlowy	
29.04.1997	Argentyna	12,50 z³	6	Scottish Longbreads	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
29.04.1997	Argentyna	9,65 z³	10	Jack's New England Clam Chowder	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
29.04.1997	Argentyna	18,00 z³	3	Steeleye Stout	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
30.04.1997	Niemcy	25,89 z³	20	Nord-Ost Matjeshering	Peacock	Przedstawiciel handlowy	WA
30.04.1997	Niemcy	18,40 z³	25	Boston Crab Meat	Peacock	Przedstawiciel handlowy	WA
30.04.1997	Niemcy	18,00 z³	40	Chai	Peacock	Przedstawiciel handlowy	WA
30.04.1997	Niemcy	40,00 z³	24	Northwoods Cranberry Sauce	Peacock	Przedstawiciel handlowy	WA
01.05.1997	Wielka Brytania	9,65 z³	6	Jack's New England Clam Chowder	King	Przedstawiciel handlowy	
01.05.1997	Szwecja	31,00 z³	2	Ikura	Davolio	Przedstawiciel handlowy	WA
01.05.1997	Wielka Brytania	81,00 z³	15	Sir Rodney's Marmalade	King	Przedstawiciel handlowy	
01.05.1997	Wielka Brytania	26,00 z³	18	Gravad lax	King	Przedstawiciel handlowy	
01.05.1997	Szwecja	46,00 z³	60	Ipoh Coffee	Davolio	Przedstawiciel handlowy	WA
01.05.1997	Szwecja	7,45 z³	15	Tourtiere	Davolio	Przedstawiciel handlowy	WA
01.05.1997	Wielka Brytania	39,00 z³	25	Alice Mutton	King	Przedstawiciel handlowy	
01.05.1997	Szwecja	25,89 z³	10	Nord-Ost Matjeshering	Davolio	Przedstawiciel handlowy	WA
02.05.1997	Francja	18,40 z³	15	Boston Crab Meat	Davolio	Przedstawiciel handlowy	WA
02.05.1997	Francja	19,00 z³	30	Inlagd Sill	Davolio	Przedstawiciel handlowy	WA
05.05.1997	Finlandia	6,00 z³	10	Konbu	Peacock	Przedstawiciel handlowy	WA
05.05.1997	Finlandia	18,00 z³	8	Chai	Peacock	Przedstawiciel handlowy	WA
05.05.1997	Finlandia	38,00 z³	30	Gnocchi di nonna Alice	Peacock	Przedstawiciel handlowy	WA
05.05.1997	Niemcy	22,00 z³	50	Chef Anton's Cajun Seasoning	King	Przedstawiciel handlowy	
05.05.1997	Niemcy	19,00 z³	30	Inlagd Sill	King	Przedstawiciel handlowy	
06.05.1997	USA	21,00 z³	3	Queso Cabrales	Suyama	Przedstawiciel handlowy	
06.05.1997	USA	34,80 z³	9	Mozzarella di Giovanni	Suyama	Przedstawiciel handlowy	
06.05.1997	USA	2,50 z³	8	Geitost	Suyama	Przedstawiciel handlowy	
07.05.1997	Belgia	12,50 z³	20	Scottish Longbreads	Buchanan	Dyrektor ds. sprzeda¿y	
07.05.1997	Belgia	24,00 z³	14	Pâte chinois	Buchanan	Dyrektor ds. sprzeda¿y	
07.05.1997	Belgia	36,00 z³	10	Gudbrandsdalsost	Buchanan	Dyrektor ds. sprzeda¿y	
08.05.1997	Austria	46,00 z³	25	Ipoh Coffee	Leverling	Przedstawiciel handlowy	WA
08.05.1997	Austria	39,00 z³	40	Alice Mutton	Leverling	Przedstawiciel handlowy	WA
08.05.1997	Austria	28,50 z³	20	Sirop d'érable	Leverling	Przedstawiciel handlowy	WA
08.05.1997	Argentyna	55,00 z³	2	Raclette Courdavault	King	Przedstawiciel handlowy	
08.05.1997	Austria	18,00 z³	50	Lakkalikööri	Leverling	Przedstawiciel handlowy	WA
09.05.1997	Wielka Brytania	17,00 z³	24	Louisiana Hot Spiced Okra	King	Przedstawiciel handlowy	
09.05.1997	Wielka Brytania	25,89 z³	15	Nord-Ost Matjeshering	King	Przedstawiciel handlowy	
12.05.1997	Niemcy	18,40 z³	10	Boston Crab Meat	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
12.05.1997	Szwecja	15,00 z³	24	Röd Kaviar	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
12.05.1997	Szwecja	34,80 z³	24	Mozzarella di Giovanni	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
12.05.1997	Niemcy	7,45 z³	10	Tourtiere	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
12.05.1997	Niemcy	25,89 z³	10	Nord-Ost Matjeshering	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
12.05.1997	Szwecja	22,00 z³	50	Chef Anton's Cajun Seasoning	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
13.05.1997	Meksyk	21,00 z³	50	Queso Cabrales	Peacock	Przedstawiciel handlowy	WA
13.05.1997	Meksyk	18,40 z³	10	Boston Crab Meat	Peacock	Przedstawiciel handlowy	WA
13.05.1997	Meksyk	55,00 z³	15	Raclette Courdavault	Peacock	Przedstawiciel handlowy	WA
13.05.1997	Meksyk	19,50 z³	5	Ravioli Angelo	Peacock	Przedstawiciel handlowy	WA
14.05.1997	Szwajcaria	13,25 z³	20	Escargots de Bourgogne	Davolio	Przedstawiciel handlowy	WA
14.05.1997	Szwajcaria	53,00 z³	6	Manjimup Dried Apples	Davolio	Przedstawiciel handlowy	WA
14.05.1997	Niemcy	2,50 z³	30	Geitost	Leverling	Przedstawiciel handlowy	WA
14.05.1997	Szwajcaria	15,00 z³	9	Röd Kaviar	Davolio	Przedstawiciel handlowy	WA
14.05.1997	Niemcy	34,00 z³	35	Camembert Pierrot	Leverling	Przedstawiciel handlowy	WA
14.05.1997	Szwajcaria	12,50 z³	30	Gorgonzola Telino	Davolio	Przedstawiciel handlowy	WA
14.05.1997	Szwajcaria	34,80 z³	21	Mozzarella di Giovanni	Davolio	Przedstawiciel handlowy	WA
14.05.1997	Niemcy	12,50 z³	20	Gorgonzola Telino	Leverling	Przedstawiciel handlowy	WA
14.05.1997	Niemcy	38,00 z³	15	Queso Manchego La Pastora	Leverling	Przedstawiciel handlowy	WA
15.05.1997	Wielka Brytania	15,00 z³	7	Outback Lager	Dodsworth	Przedstawiciel handlowy	
15.05.1997	Wielka Brytania	34,80 z³	1	Mozzarella di Giovanni	Dodsworth	Przedstawiciel handlowy	
16.05.1997	Wielka Brytania	10,00 z³	15	Sir Rodney's Scones	Suyama	Przedstawiciel handlowy	
16.05.1997	Wielka Brytania	20,00 z³	6	Maxilaku	Suyama	Przedstawiciel handlowy	
16.05.1997	Wielka Brytania	2,50 z³	15	Geitost	Suyama	Przedstawiciel handlowy	
16.05.1997	Wielka Brytania	6,00 z³	8	Konbu	Suyama	Przedstawiciel handlowy	
19.05.1997	Niemcy	31,23 z³	40	Gumbär Gummibärchen	Leverling	Przedstawiciel handlowy	WA
19.05.1997	Niemcy	12,50 z³	35	Scottish Longbreads	Leverling	Przedstawiciel handlowy	WA
19.05.1997	Brazylia	263,50 z³	4	Côte de Blaye	Fuller	Wiceprezes ds. sprzeda¿y	WA
19.05.1997	Niemcy	263,50 z³	30	Côte de Blaye	Leverling	Przedstawiciel handlowy	WA
19.05.1997	Brazylia	21,50 z³	9	Flotemysost	Fuller	Wiceprezes ds. sprzeda¿y	WA
19.05.1997	Brazylia	4,50 z³	35	Guaraná Fantástica	Fuller	Wiceprezes ds. sprzeda¿y	WA
19.05.1997	Brazylia	21,05 z³	36	Louisiana Fiery Hot Pepper Sauce	Fuller	Wiceprezes ds. sprzeda¿y	WA
19.05.1997	Niemcy	10,00 z³	60	Aniseed Syrup	Leverling	Przedstawiciel handlowy	WA
20.05.1997	Niemcy	7,45 z³	24	Tourtiere	Davolio	Przedstawiciel handlowy	WA
